Classifier,Method,Unigrams,Negation,Class,Recall,Precision
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.896202532,0.878411911
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.895013123,0.865482234
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.885964912,0.810160428
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.886597938,0.864321608
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.896,0.833746898
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.88372093,0.842364532
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.87394958,0.81038961
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.889502762,0.827763496
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.878411911,0.857142857
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.889473684,0.83046683
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.886075949,0.868486352
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.905511811,0.858208955
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.888888889,0.817204301
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.87628866,0.852130326
MaxentClassifier,1step,ngram3,negtnTrue,Neu,0.893333333,0.827160494
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnFalse,Neu,0.691876751,0.932075472
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram1,negtnTrue,Neu,0.694677871,0.918518519
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnFalse,Neu,0.753501401,0.927586207
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
MaxentClassifier,2step,ngram3,negtnTrue,Neu,0.725490196,0.918439716
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.824289406,0.878787879
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.795518207,0.850299401
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.837016575,0.880813953
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.811414392,0.895890411
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.815789474,0.870786517
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.817721519,0.889807163
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.818897638,0.896551724
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.798245614,0.866666667
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.81185567,0.877437326
NaiveBayesClassifier,1step,ngram1,negtnFalse,Neu,0.84,0.870165746
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.821705426,0.878453039
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.803921569,0.854166667
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.837016575,0.880813953
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.813895782,0.901098901
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.823684211,0.8767507
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.812658228,0.889196676
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.82152231,0.894285714
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.795321637,0.869009585
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.81185567,0.875
NaiveBayesClassifier,1step,ngram1,negtnTrue,Neu,0.84,0.875
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.857881137,0.912087912
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.829131653,0.870588235
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.867403315,0.897142857
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.82630273,0.890374332
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.844736842,0.884297521
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.843037975,0.907356948
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.850393701,0.907563025
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.830409357,0.865853659
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.845360825,0.906077348
NaiveBayesClassifier,1step,ngram3,negtnFalse,Neu,0.853333333,0.893854749
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.842377261,0.898071625
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.831932773,0.868421053
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.850828729,0.89017341
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.816377171,0.896457766
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.85,0.897222222
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.837974684,0.904371585
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.850393701,0.905027933
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.821637427,0.86996904
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.835051546,0.892561983
NaiveBayesClassifier,1step,ngram3,negtnTrue,Neu,0.856,0.886740331
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnFalse,Neu,0.81232493,0.855457227
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram1,negtnTrue,Neu,0.820728291,0.834757835
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neu,0.845938375,0.845938375
